51,88,10429,10488,2281,33285,5921,10545,3819,2245,00,15/06/2023 17:35:18
41,78,40973,15679,1147,4312,10395,4694,5701,1964,01,15/06/2023 17:35:19
34,91,17053,10217,10101,9030,6370,4870,6607,4929,00,15/06/2023 17:35:20
34,78,112780,20441,5936,3922,7053,8996,11609,3496,00,15/06/2023 17:35:21
40,67,10587,7844,6447,3453,6260,8194,7885,2201,00,15/06/2023 17:35:22
43,81,28427,6482,747,12010,4366,6556,4303,2251,01,15/06/2023 17:35:23
48,75,10796,13850,6600,9040,10245,9278,9146,3410,00,15/06/2023 17:35:24
48,75,20476,24773,3957,6767,4517,9623,6647,4062,00,15/06/2023 17:35:25
53,60,5169,18478,2507,926,2500,19382,8213,3109,00,15/06/2023 17:35:26
53,44,16323,15498,2942,1162,5306,7615,11119,1209,01,15/06/2023 17:35:27
35,35,238555,100442,10779,9597,10845,3562,6989,1928,00,15/06/2023 17:35:28
37,35,953601,128449,40491,12534,10111,65084,13093,11172,00,15/06/2023 17:35:29
37,48,6014,25654,20882,3765,6741,37722,53032,10840,00,15/06/2023 17:35:30
26,50,164720,30320,1678,5828,5855,4295,27321,3426,01,15/06/2023 17:35:31
48,57,143283,86961,47626,10267,8105,61306,61513,11339,00,15/06/2023 17:35:32
