44,83,1769741,491999,46382,53933,41145,70493,47118,45905,0,
57,83,75406,12959,55,2986,2403,15118,3401,5632,0,
56,78,1718789,89515,23173,55359,6806,78396,35688,29419,0,
66,74,26417,16290,5785,515,2586,17458,2696,4248,0,
75,77,642246,109842,17633,18938,7365,39851,20591,42171,0,
74,81,1584552,77630,21677,8000,39796,84820,53301,16255,0,
63,77,1452562,48436,9054,9402,10603,9947,10924,8498,0,
53,90,472624,138950,67484,64642,30709,72159,41765,36994,0,
53,83,449240,54495,6871,3328,5259,17375,6649,4785,0,
48,80,634537,150250,18163,9577,23654,69105,20591,16950,0,
56,67,67124,23392,2977,688,4144,10864,3558,4523,0,
56,56,589858,223169,64682,19859,26126,81582,24194,13255,0,
51,53,695930,527622,40918,15802,23030,71882,15546,17864,0,
47,50,828391,216762,3774,21391,7303,62553,3528,3107,0,
51,64,20988,4101,2857,1388,3249,6526,6769,4103,0,
43,75,1284368,365074,193312,61220,27833,55746,37005,18518,0,
50,87,281667,37518,11540,1370,904,12560,7205,5772,0,
41,100,1269429,223676,28683,65172,22105,33902,35455,19909,0,
16,84,1138120,1226157,58709,31550,5606,41706,78378,14334,0,
13,81,182558,390419,155024,82672,145941,33839,160191,11961,0,
4,93,234672,38312,44749,3254,14702,8594,10781,7571,0,
7,87,62031,62103,2995,11610,5566,11972,7148,4114,0,
11,96,762831,401543,30973,40125,17103,27452,28061,7235,0,
20,100,2256373,97383,352650,59469,51912,80824,79732,63481,0,
16,83,1421366,133089,31626,4260,7656,12510,6848,5064,0,
13,96,1891406,185609,323739,79472,47075,55364,40898,46612,0,
17,80,1283810,236681,1509,12639,13261,28588,12086,15458,0,
7,54,1584685,285522,19376,16234,17198,10586,24078,6843,0,
3,66,246120,78933,24570,35171,3558,6307,17085,2562,0,
3,51,1705133,159924,27724,30184,6846,23429,12179,4860,0,
