67,35,308467,494213,46183,9162,16088,108508,70303,19457,0apple_78.jpg,16/06/2023 15:58:49
69,17,40132,77162,5275,3848,2947,17037,6949,3311,0apple_78.jpg,16/06/2023 15:58:50
56,29,2095751,27628,29541,22032,39264,31953,30496,29904,0apple_78.jpg,16/06/2023 15:58:51
57,43,2638,3875,646,7028,3168,3484,3898,1135,0apple_78.jpg,16/06/2023 15:58:52
78,53,10120,6555,5991,6976,14781,23608,21486,5169,0apple_79.jpg,16/06/2023 15:58:53
83,67,35553,9797,4119,5341,3960,7220,3707,2520,0apple_79.jpg,16/06/2023 15:58:54
88,57,104882,23745,4892,6881,24262,20756,17125,5589,0apple_79.jpg,16/06/2023 15:58:55
88,51,16154,13242,8067,10819,32261,10406,9275,3539,0apple_79.jpg,16/06/2023 15:58:56
84,53,108483,17610,6670,20773,16772,34884,25178,5956,0apple_79.jpg,16/06/2023 15:58:57
90,53,2630,3497,919,5304,4603,6392,2229,1261,0apple_79.jpg,16/06/2023 15:58:58
75,60,308208,127914,15784,42934,28001,24838,11193,2974,0apple_79.jpg,16/06/2023 15:58:59
81,56,32824,4078,786,2978,4441,5453,3764,6192,0apple_80.jpg,16/06/2023 15:59:00
84,56,46857,6390,16204,8486,33323,31645,13257,4027,0apple_80.jpg,16/06/2023 15:59:01
91,53,35325,9508,9334,8687,13299,37202,11450,12745,0apple_80.jpg,16/06/2023 15:59:02
100,47,6602,2691,464,2730,2607,16561,2549,1269,0apple_80.jpg,16/06/2023 15:59:03
100,48,4215,12699,12530,2995,12908,16434,13327,9170,0apple_80.jpg,16/06/2023 15:59:04
100,47,69196,26426,33265,6823,34743,65074,26446,9324,0apple_80.jpg,16/06/2023 15:59:05
93,48,29744,25379,9628,19833,8191,34765,15018,8280,0apple_80.jpg,16/06/2023 15:59:06
77,64,9844,8395,18999,15467,10395,19459,12673,13742,0apple_81.jpg,16/06/2023 15:59:07
74,56,109707,16015,3911,696,1370,10107,2957,1803,0apple_81.jpg,16/06/2023 15:59:08
81,51,68463,10012,440,11036,10367,51913,24113,5773,0apple_81.jpg,16/06/2023 15:59:09
77,41,106941,36009,3372,5517,7089,14421,5787,2093,0apple_81.jpg,16/06/2023 15:59:10
91,27,7906,9328,5542,11731,16296,61484,13016,7748,0apple_81.jpg,16/06/2023 15:59:11
87,38,86635,34019,8642,27463,13223,20139,10741,12760,0apple_81.jpg,16/06/2023 15:59:12
78,47,644807,33587,36960,1813,8637,60312,9409,8694,0apple_81.jpg,16/06/2023 15:59:13
87,53,64627,5418,1969,4037,3902,9479,1738,1811,0apple_81.jpg,16/06/2023 15:59:14
74,56,65153,13277,11514,3429,16997,17523,3424,3725,0apple_82.jpg,16/06/2023 15:59:15
78,51,146987,49948,16037,14222,8963,39627,6780,19324,0apple_82.jpg,16/06/2023 15:59:16
70,53,421525,21523,12376,5684,2951,15142,3341,2104,0apple_82.jpg,16/06/2023 15:59:17
63,57,20057,11227,3699,6541,5020,6273,7573,1833,0apple_82.jpg,16/06/2023 15:59:18
67,54,1760,4640,1999,1594,2498,10828,2019,2444,0apple_82.jpg,16/06/2023 15:59:19
78,51,6914,1899,753,1639,1733,6716,2669,779,0apple_82.jpg,16/06/2023 15:59:20
77,51,46236,12488,6966,4033,3333,7006,3517,1730,0apple_82.jpg,16/06/2023 15:59:21
87,48,82975,14970,10003,16545,9128,44265,14908,13463,0apple_83.jpg,16/06/2023 15:59:22
83,43,23436,14213,1435,4852,22679,16414,6558,4107,0apple_83.jpg,16/06/2023 15:59:23
75,41,8799,12008,3442,4227,10250,12284,5888,12064,0apple_83.jpg,16/06/2023 15:59:24
80,41,7664,16481,19515,3385,9967,24434,9086,6064,0apple_83.jpg,16/06/2023 15:59:25
75,44,10391,47406,28932,20941,16795,49832,10113,8159,0apple_83.jpg,16/06/2023 15:59:26
78,51,19575,11227,18255,2164,37728,39692,13792,2877,0apple_83.jpg,16/06/2023 15:59:27
